"id","title","composer","arranger","specific_voicing","key","time","notes"
"530","I've Got A Dream","Menken","Emerson","TTBB",,,
"705","the Stars are with the Voyager","Daley",,"TTBB",,,"2 copies"
"747","O Quam Gloriosum",,"Narverud","TBB",,,
"560","Dies Irae","Main",,"TB",,,
"499","A Jubilant Song","Joio","McGill","TTBB",,,"4 copies"
"659","Miserere Mei, Deus","Allegri","Rodde","TTBB",,,
"598","O Sacrum Convivium","Viadan",,"TTBB",,,
"497","Take Me Out to the Ball Game","Tilzer","Moore","TTBB",,,
"491","Yes Sir, That's My Baby","Donaldson","Kahn","TTBB",,,
"596","Sarasponda",,"Boshkoff","2-Part",,,
"756","A Tribute To The Armed Services",,"Larson","TTBB",,,
"695","Laudate Dominum","Davison",,"TB",,,"adapted from psalm 117"
"510","Johnny Schmoker","Pennsylvania Dutch Folk Song","Rodde","TTBB",,,
"753","Spanish Ladies",,"Parker + Shaw","TTBB",,,
"645","Alleluia","Bach","Lefebure","TTBB",,,"5 copies"
"512","Stand By Me","King, Stoller, Leiber","Emerson","TB",,,
"505","The Vagabond","Williams",,"TTBB",,,"3 copies"
"628","Stopping by Woods On a Snowy Evening","Thompson","Frost","TBB",,,"4 copies"
"650","My Bonny Lass","Leiniger","Morley","TBB",,,
"754","Songs of the Road and the Sea","Farnell",,"TB",,,"5 songs: The Open Road; Sea Remembrance; All the World was made for Me; The Vagabond; None of Us Cared for Kate"
"68","Be Thou My Vision",,"Hunter","TTB",,,
"835","Ave Maria","Beibl",,"TTB/ TTBB",,,"3 copies"
"836","I'm Still Standing","John/Taupin","Suhmuttle","TTB",,,
"899","The Night","Schubert",,"TTBB",,,
"66","Betelehemu","Olatunji","Whalum","TTBB",,,
"67","Blow Ye The Trumpet","Kirke Mechem",,"TTBB",,,
"77","Sovet prevechniy (The Eternal Counsel)","Chesnokov",,"TTBB",,,
"83","Come Travel With Me","Farthing",,"TTB",,,
"226","Three Chanteys","Bartholomew",,"TB",,,
"244","Jinlge-Bell Rock","Beal and Boothe","Szabo","TTBB",,,
"71","Ballgame","Tilzer","Morton","TTB",,,
"896","Think On Me","Mary, Queen of Scots","Mulholland","TTBB",,,"2 copies"
"266","Jailhouse Rock","Leiber, Stoller","Lojeski","TB",,,
"815","High O'er the Mountains","Williams",,"TTBB",,,"3 copies"
"40","Ave Maria","Himes",,"TTBB",,,
"905","Tantsulaul","Tormis",,"TTBB",,,"2 copies"
"688","Truth from ""What is Love?""","McCray",,"TTBB",,,
"39","Bonse Aba",,"Fischer","TTBB",,,
"325","Hallelujah","Beethoven","Heath","TTBB",,,
"60","A Festive Alleluia","Lightfoot",,"TB",,,
"61","African Noel","Folk - African","Moore","TTB",,,
"828","Hullabalo Balay",,"Krunnfusz","TTBB",,,"3 copies"
"904","Frobisher Bay",,"Ayres","TBB",,,
"288","Hie Away, Hie Away","Shearer",,"TTB",,,
"902","Speak the Truth","Hagen",,"TB",,,
"224","In Taberna Quando Sumus","Orff",,"TBB",,,
"856","Do You Fear the Wind","Sateren","Garland","TTBB",,,"3 copies"
"857","TÃ¼rgi SÃµja Iaul (Song of the Turkish War)","Tormis",,"TTBB",,,
"861","O Magnum Mysterium","Schmidt",,"TTBB",,,
"854","Gloria","Davison",,"TB",,,"3 copies"
"184","Go, Tell it on the Mountain","Traditional","Singh","TTBB",,,
"855","The Promised Land",,"Kirk","TBB",,,
"871","Kyrie Eleison","Davison",,"TB",,,
"145","Fight the Good Fight with all thy Might","Gardner","Gardner","TTBB",,,"4 copies"
"873","Come and Go to that Land",,"Waddles","TTBB",,,
"882","Set Me As A Seal Upon Your Heart","Farnell",,"TB",,,
"865","Stars I Shall Find","Johnson","Teasdale","TTB",,,
"150","Die Minnesanger","Schumann","Oltman","TTBB",,,
"189","Great Day","Traditional Spiritual","Jordan","TTBB",,,"4 copies"
"891","Omnia Vincit Amor","Trotta","Virgil, Eclogues","TB",,,"3 copies"
"104","Deep Peace","Telfer",,"TTBB",,,"5 copies"
"106","Down in the Valley","Mead",,"TTBB",,,
"894","Riu, Riu, Chiu",,"Leininger","TTBB",,,
"218","In Praise of Music","Farnell",,"TTB",,,
"87","Confirma Hoc, Deus","Handl","Rodde","TTBB",,,"5 copies"
"197","Two Working Songs for TB Chorus","Winebrenner",,"TB",,,
"852","Break of Day","Trotta","Donne","TB",,,
"190","Go Down, Moses","Traditional American Spiritual","Hogan","TTBB",,,
"107","Dominus Vobiscum","Narverud",,"TTBB",,,
"207","God Bless America","Berlin","Boutelle","TTBB",,,
"851","Always Look on the Bright Side of Life","Idle","Huff","TTB",,,
"784","Soldier's Hallelujah","Singh",,"TB",,,
"800","Salvation is Created","Chant","Morosan","TTBB",,,
"785","La pastorella al prato","Schubert","Thrift","TB",,,
"424","The Little Light of Mine","Traditonal","Synder","TB",,,
"383","Tell My Father","Wildhorn","Ramsey","TTB",,,
"381","Down Among the Dead Men","Old English Air","Vaughan Williams","TTBB",,,
"436","Shepherds! Sing Noel!","Traditional","Schram","TB",,,
"783","Awake!","Norman",,"TB",,,
"782","Didn't My Lord Deliver Daniel?","Traditional","Gilpin","TB",,,
"385","Riu Riu Chiu","Anonymous","Leininger","TTBB",,,
"406","Cover Me with the Night","Ramsey","Traditional","TTB",,,
"414","Set Me As A Seal Upon Your Heart","Farnell",,"TB",,,
"794","She Walks In Beauty","Koppin","Byron","TTBB",,,
"404","The Christmas Song (Chestnuts Roasting on an Open Fire)","Torme, Wells","Liles","TTBB",,,
"796","Student Song","Conte","Burana","TTBB",,,
"389","O Magnum Mysterium","Ramos",,"TTB",,,
"420","Darest, O Soul","Valverde","Whitman","TTBB",,,
"400","Nada Te Turbe","Steffen",,"TBB",,,
"393","Cantate Domino","Farnell",,"TTB",,,"5 copies"
"772","Hunting Song","Mendelsschn","Scott","TTBB",,,
"35","Madrigals for Tenor Bass Voices","Various Authors","Porterfield","TTB",,,"All Ye Who Music Love, My Heart Belongs Only To You, Now Is The Month Of Maying, Since Robin Hood, Weep O Mine Eyes"
"4","Ave Maria","Victoria","Sund","TTBB",,,
"464","Dance","Conte","Whitman","TTBB",,,
"3","Abide With Me","Monk","Hogan","TTBB",,,
"217","I'm Bound Away","Traditional","Patterson","TB",,,
"408","NoÃ«l Nouvelet",,"Schumacker","TB",,,
"470","What Shall We Do with the Drunken Sailor",,"Parker, Shah","TTBB",,,
"769","AllÃ¡ en el rancho grande",,"Trinkley","TB",,,
"776","O Sing To The Lord","Davison",,"TTBB",,,"based on Psalms"
"909","A Triology of Knighthood","Bray","Cunningham","TTBB",,,
"15","Ave Maria","Foote","Arcadelt","TTBB",,,
"380","Twas in the Moon of Wintertime",,"Helgen","TTBB",,,
"28","The Awakening","Martin",,"TTBB",,,
"439","StÃ¤ndchen","Schubert","Grillparzer","TTBB",,,
"778","SÃ©rÃ©nade Italienne","Chausson","Valverde","TBB",,,
"453","Stouthearted Men","Romber","Leavitt","TTBB",,,
"779","The Parting Glass","Traditional Irish","Marrolli","TTBB",,,
"917","Pengyou, Ting!",,"Jennings","TTBB",,,"5 copies"
"350","Two German Carols","Bach, Bourgeois, Schop","Miner","TB",,,
"336","Winter","DeCesare",,"TTB",,,
"272","How Can I Keep From Singing","American Hymn","Herrington","TBB",,,
"269","The Holly and the Ivy","Traditional English","Patterson","TTB",,,
"337","A Trilogy of Knighthood","Gardner Bray",,"TTB",,,
"361","The Lighthearted Lovers","Mechem",,"TB",,,
"358","Let It Snow! Let It Snow! Let It Snow!","Styne","Liles","TTBB",,,
"333","Ad Astra","Narverud",,"TBB",,,
"349","Gloria","Traditional","Giardiniere","TB",,,
"347","Sea Fever","Ireland","Shackley","TB",,,
"334","African Noel","Traditional African","Johnson","TTB",,,
"335","Invictus","Wright",,"TTBB",,,
"887","When I Think of You","Farnell",,"SSA",,,
"883","Once More the Flowers Bloom","Scheill",,"SSA",,,"3 copies"
"886","Five Songs for Treble Chorus","Folk","DeWitt","SA",,,"2 copies; Sourwood Mountain; Elegy; Come, Ye Young Maidens; Star Light, Star Bright; I Never Will Marry"
"875","Beauty","Gilbert",,"SSA",,,
"707","The Night Shall Be Filled with Music","Farnell",,"SSA",,,"2 copies"
"906","HODIE!","Leavitt",,"SSA",,,"3 copies"
"877","La MaumariÃ©e (J'etends le loup)",,"Jenson","SSAA",,,
"920","Will Ye Go, Lassie, Go?",,"Neaum","SSA",,,
"876","Rise Up, My Love, My Fair One","Raminsh",,"2-Part",,,"3 copies"
"878","Polish Carol",,"Bell","SSA",,,"3 copies"
"907","An Die Nachtigall","Schumann",,"SA",,,"2 copies"
"881","Memory, Hither Come","Pinkham",,"SA",,,
"880","My Lord Has Come","Todd",,"SSAA",,,
"709","O Vos Omnes","Sprague","Victoria","SSAA",,,
"910","Waldesnacht","Brahms","Edwards","SSA","A-flat major",,
"911","Confitemini Domino","Drennan",,"SSA",,,"3 copies"
"900","Rumjana",,"Holmes","3-Part",,,"2 copies"
"903","Every Night When the Sun Goes In",,"Paterson","SSA",,,"2 copies"
"901","Pavane for Spring","Butler",,"SSA",,,"3 copies"
"697","The Snow","Elgar",,"SSA",,,
"698","Scarborough Fair","English Folk","Archibeque","SSA",,,
"898","Ojos Azules",,"Hatfield","3-Part",,,"2 copies"
"913","Skye Boat Song","Boulton","Gilpin","SSA",,,"3 copies"
"912","Heaven-Haven","Wagner","Hopkins","SSA",,,
"692","Magnificat","Haydn",,"SSA",,,
"908","Canto de PilÃ³n",,"Grases","SA",,,
"918","When She Loves Me","Newman",,"SSA",,,
"919","Vere Languores Nostros","Lotti","Greyson","SSA",,,
"888","Surf's Up (Medley)",,"Emerson","2-Part",,,
"890","Os Justi","Daley",,"SSAA",,,"5 copies"
"914","Pong Pong PÃ­yangaw",,"Vizconde-Roldan","SSA",,,"3 copies"
"916","Nu Ã¤r det Jul Igen",,"Jeffers","SA",,,"4 copies"
"693","Remember Me","Chilcott",,"SA",,,"perform w sign language!!"
"889","Grace","Brunner","Holmes","SSA",,,"3 copies"
"812","Barter","Clausen","Teasdale","SSA",,,"5 copies"
"817","Small Voices","Papoulis",,"2-Part",,,
"820","Jesu","Ramsey",,"SA",,,"5 copies"
"810","Yo le Canto Todo El Dia","Brunner",,"2-Part",,,"5 copies"
"749","Salve Regina","Busto",,"SSAA",,,
"806","Vichten","Arsenault","Rouge","SSA",,,
"808","O Hear the Joyful Music","Banchieri","Liebergen","SSA",,,
"821","Oh, Think of Me","Hagenberg",,"SSA",,,"4 copies"
"741","Medieval Gloria","Singh",,"SA",,,"2 copies"
"826","I See You",,"Brymer","SSA",,,"4 copies"
"740","7 copies","Stroope",,"SSAA",,,"3 copies"
"742","Let All Mortal Flesh Keep Silence",,"Courtney","SSAA",,,"most amazing and beautiful and coolest song ever (sang by whole treble at winter concert 2025 <3), instrumental scores at back!"
"824","A la nanita nana",,"Eddleman","2-Part",,,"3 copies"
"825","The Wexford Carol","Traditional","Schram","SSA",,,"4 copies"
"743","Dormi, Dormi, Bel Bambin",,"Crescenz","SSAA",,,"a capella winter concert 2025"
"750","Sing Creations Music On","Paulus","Clare","SSA",,,
"760","God Bless America","Berlin","Ringwald","SSA",,,
"758","To The Evening Star","Blackley","Blake","SSA",,,
"780","An Den Vetter","Haydn","Vancil","SSA",,,
"777","Take Me to the Water","Dilworth",,"SSAA",,,
"767","Adoramus Te","Lasso","Avalos","3-Part",,,
"770","There is Sweet Music","Gawthrop",,"SSAA",,,
"774","Bonny Wood Green","Traditional Irish","Hatfield","SSA",,,"5 copies :("
"781","La Li Ley","Wong",,"SSAA",,,
"752","Shall I Compare Thee To A Summer's Day","Shakespeare","Mulholland","SSAA",,,
"805","Romance","Debussy","Raines","SSA",,,
"751","Sing A Song of Sixpence","Mendoza","Rhyme","SA",,,
"799","Suscepit Israel","Bach",,"SSA",,,
"757","This Train is Bound for Glory","Traditional Spiritual","Hayes","SSA",,,
"787","She Weeps Over Rahoon","Whitacre",,"SSA",,,
"795","Stucku Puku","Wiechowicz","Porazinska","SSA",,,
"829","How Can I Keep From Singing",,"Herrington","SSA",,,"3 copies"
"858","O Magnum Mysterium","Ramos",,"SSA",,,"3 copies"
"862","Psalm 100","Clausen",,"SSA",,,
"863","God Will Give Orders/ Sweet Child","Quartel",,"SSAA",,,"4 copies"
"718","Catalina La O",,"Ortiz","SSA",,,"cantiamo uil piece 2025!!"
"850","The Carol of the Dance","Goemanne",,"SA",,,
"729","The Storm Is Passing Over","Tindley","Bakes","SSA",,,
"722","Shine on Me","Dilworth",,"SSA",,,"2 copies"
"864","Sanctus","Victoria","Harris","3-Part",,,
"870","Skyfall","Adkins, Epworth","Langford","SSA",,,"4 copies"
"712","Mother, I Will Have A Husband","Vautor","Greyson","SSA",,,
"874","O Frondens Virga","Collins","Bingen","SSA",,,
"869","The Sky is Strung with Glory","Ramsey",,"SA",,,
"716","Happy Holiday/ White Christmas","Berlin","Lojeski","SSA",,,
"867","Somewhere in My Memory","Bricusse","Hayes","SSA",,,"3 copies"
"868","Singing in the Rain","Brown","Hayes","SSA",,,"3 copies"
"849","Festival Sanctus","Leavitt",,"SSA",,,
"738","Medley from Les MisÃ©rables",,"Lojeski","SSA",,,
"838","Stronger (What Doesn't Kill You)","Kurstin, Elofsson, Gamson, Tamposi","Anders, Astrom","SSA",,,"5 copies"
"736","My True Love Has My Heart","Butley","Sidney","SSA",,,
"837","Dance on My Heart","Keopke",,"SSA",,,"3 copies"
"830","For the Beauty of the Earth","Rutler",,"SA",,,
"831","Hooray for Hollywood",,"Beck","SSAA",,,"4 coppies"
"833","Floating Moon on the Water",,"Liu","SSAA",,,"4 copies"
"842","A World We Cannot See","Papaoulis",,"SSA",,,
"732","Sing A New Song","Mendoza",,"SSAA",,,"3 copies"
"848","Little Bird",,"Wanerchak","Unison",,,
"731","Litanie della Madonna Regina Coeli","Haydn","Weber","SSA",,,
"766","Come, Jesus, Holy Son of God","Handel","Hopson","SA",,,
"844","Deo Gracias","Leininger",,"SSA",,,"4 copies"
"733","Savory, Sage, Rosemary, Thyme","Patriquin",,"SSAA",,,
"847","Veni, Sancte Spiritus","Davison",,"SA",,,
"245","Juego a que me quemo","Traditional Columbian","Giraldo","SSA",,,
"249","Kyrie Eleison","Leininger",,"SSAA",,,
"250","Kompira Fune, Fune","Japanese Folk Song","Leck and Ellis","SSA",,,
"239","Jolly Old Saint Nicholas","Traditional","Farnell","SSA",,,
"241","Jubilate Deo","Braz",,"SSA",,,
"243","Joyfully Sing","Spevacek",,"SSA",,,
"256","Keep Holding On","Lavigne and Gottwald",,"SSA",,,
"259","Into An Unknown Land","Raminsh",,"SSAA",,,
"263","Hodie","Leavitt",,"SSA",,,
"252","Ka Wailele O Nu'vanu","Kauka","Gereben","SSA",,,
"254","How Beautiful Is Night","Eddlemant",,"SSA",,,
"255","Heart We Will Forget Him","Mulholland",,"SSA",,,
"238","In the Bleak Midwinter","Holst","Emerson","SSAA",,,
"195","The Water is Wide","Traditional American","Farnell","SSA",,,
"203","In You I Found","Farnell",,"SSA",,,
"212","In Time of Silver Rain","Johnson",,"SSA",,,
"181","Heart, We Will Forget Him!","Farnell",,"SSA",,,
"182","How Can I Keep From Singing?","Quaker Hymn","Walker","SS(A)A",,,
"185","How Far is it to Bethlehem?","English Traditional Melody","Willcocks","SSA",,,
"223","I Am Not Yours","Childs",,"SSAA",,,
"229","In dulci jubilo","Traditional German Carol","Courtney","SSA",,,
"237","Jubilate Deo","Brunner",,"SA",,,
"213","Black is the Color of my True Love's Hair","American Traditional","Roth, Moran","SSA",,,
"216","If Were Coming in the Fall","Butler",,"SSA",,,
"222","If I Were the Velvet Rose (of Love)","Memley",,"SSAA",,,
"265","Jump","Roth, Van Halen, Van Halen, Anthony",,"SSA",,,
"338","I Cannot Dance, O Lord","Paulus",,"SSAA",,,
"341","Il Yat Un Coq qui Chante","French Canadian Folksong","Robinovitch","SA",,,
"344","Autumn Leaves","Kosma","Rutherford","SSA",,,"Solo's can be performed ad lib at the director's discretion."
"321","The Valley","Siberry","Hanson","SSA",,,
"329","Canto de Pilon","Traditional from Venezuela","Grases","SA",,,
"330","Confitemini Domino","Drennan",,"SSA",,,
"366","Pavane for Spring","Butler",,"SSA",,,
"369","The Poet Sings","Stroope",,"SSA",,,
"371","Life Has Loveliness to Sell","Lightfoot",,"SSA",,,
"346","The Arrow and the Song","Matthews",,"SA",,,
"353","Three Rhymes","Bouman",,"Two Part",,,
"355","Shenandoah","American Folk Song","Farnell","2-part",,,
"320","Skye Boat Song","Scottish Folk Song","Gilpin","SSA",,,
"286","Hotaru Koi","Japanese Children's song","Ogura","SSA",,,
"290","He Is Good and Handsome","Passereau","Greyson","SSAA",,,
"312","Study War No More","Traditional Spiritual","Moore","SSAA",,,
"268","J'entends le moulin","Folksong","Patriquin","SS",,,
"271","Hello, Girls","American Folksong","Pfautsch","SSA",,,
"284","Hymn to Dawn","Holst",,"SSAA",,,
"316","Heaven-Haven","Wagner",,"SSA",,,
"317","O Magnum Mysterium","Morales",,"SSAA",,,
"319","Stopping by Woods on a Snowy Evening","Feeley",,"SSA",,,
"313","Mr. Blue Sky","Lynne","Emerson","SSA",,,
"314","Pong Pong Piyangaw","Traditional Filipino","Vizconde-Roldan","SSA",,,
"315","Single Ladies with a Crush","from Glee","Gilpin","SSA",,,
"69","Climbin' Up the Mountain, Children","Spiritual","Dilworth","SAA",,,"5 Copies"
"70","Cantate Domino","SchÃ¼tz","Grundahl","SSA",,,
"72","Benedictus","Vittoria",,"SSA",,,
"51","Ave Maria","Victoria","Robinson","SSA",,,
"58","Alleluia","Basler",,"SSAA",,,
"63","Alice","Quartel",,"SSA",,,"3 Copies"
"94","The Cloths of Heaven","Daley",,"SSA",,,
"112","Do Not Stand at My Grave and Weep","Farnell",,"SSA",,,"8 copies"
"114","Domine Fili Unigenite from Missa Primi Toni","Palestrina","Michaels","SSA",,,"4 copies"
"76","Cantate Domino","Henderson",,"SSAA",,,
"85","Christmas Pops Trio","Popular","Althouse","SSA",,,"Winter Wonderland, Have Yourself a Merry Little Christmas, It's the Most Wonderful Time of The YEar"
"86","Celebremus","Luengen",,"SSAA",,,
"50","Ave Verum Corpus","Raminsh",,"SSAA",,,
"11","Six Songs of Early Canada","Folk-Canadian","Patriquin","SSAA",,,
"16","Benedicamus Domino","Traditional","Taylor","SSA",,,
"17","Ave Maria","Pinkham",,"SA",,,"5 copies"
"1","Ave Maria","Keating",,"SS(S)A",,,
"7","Cantate","Donnelly and Strid",,"SA",,,
"8","Cantate","Leavitt",,"SSA",,,
"33","Ave Generosa","Gjeilo",,"SSAA",,,"4 Copies"
"42","Ave Maria","Brahms","Jones","SSAA",,,
"43","Ave Maria","Holst",,"SSAA/SSAA",,,
"21","Arise, My Love","Szymko",,"SA",,,"4 Copies"
"23","Arise, My Love","Farnell",,"SSA",,,"3 Copies"
"24","Akakomborerwa","Folk-Zimbabwean","Kesselman","SSAA",,,
"116","Didn't My Lord Deliver Daniel","Spiritual","Berg","SSA",,,
"158","Fecit Potentiam","Porpora",,"SSAA",,,"2 copies"
"160","Five Hebrew Love Songs","Whitacre","Plitmann","SA",,,"5 copies"
"161","From Dusk to Dawn","Walker","Gbowee","SSA",,,"4 copies"
"149","Dos Cantos","Jeffers",,"SSA",,,"5 copies"
"151","Frosty the Snow Man","Nelson & Rollins","Lojeski","2-Part",,,"6 copies"
"156","Echo","Daley",,"SSAA",,,
"176","A Girl's Garden from Frostiana","Thompson",,"SSA",,,
"178","Gloria a Dios","Traditional Mexican Folk Lullaby","Sanchez","SSA",,,"8 copies"
"179","Gloria Festiva","Crocker",,"SSA",,,
"163","Floating Moon on the Water","Chen","Liu","SSAA",,,"10 copies"
"174","Gloria from Mass No. 6","Orban",,"SA",,,
"175","Petites Voix (Songs for Children)","Poulenc",,"SSA",,,
"144","Firework","Eriksen, Hermansen, Dean, Perry, Wilhelm","Anders, Davis, Brymer","SSA",,,
"124","Duet from Cantana No. 37","Bach","Rao","SA",,,
"125","Dancing-Song","Kodaly",,"SSA",,,
"127","Deo Gracias","Leininger",,"SSA",,,
"117","Deo Gracias","Britten",,"SSA",,,
"120","Danny Boy","Irish Folk Song","Duson","SSAA",,,
"121","Danny Boy","Irish Folk Song","Patterson","SSA",,,
"138","Suffer No Grief from Behind the Caravan","Betinis",,"SSAA",,,"10 copies"
"139","Early One Morning","English Folk Song","Eilers","SSA",,,"10 copies"
"141","El Vito","Traditional Spanish Folk","Jensen","SSAA",,,
"132","Dance on My Heart","Koepke",,"SSA",,,
"133","Da Pacem Domine","Franck","Goetze","SSAA",,,
"137","Dobru Noc","Slovakian Folk Song","Johnson","SSA",,,
"376","Things That Never Die","Daley",,"SSAA",,,
"574","Wicked","Schwartz","Brymer","SSA",,,"No One Mourns the Wicked; the Wizard and I; One Short Day; For Good; Defying Gravity; Finale"
"576","Psalm 23","Stroope",,"SSAA",,,
"582","Wind of the Western Sea","Ellingboe",,"SSA",,,
"570","Les Papillons","Chausson","Valverde","SSA",,,
"572","You'll Never Walk Alone","Rodgers","Huff","SSA",,,"5 copies"
"573","Wir eilen mit schwachen, doch emisigen Schritten","Bach","Rist","SA",,,
"584","Laudate Dominum","Vivaldi","Liebergen","SSA",,,
"595","La Mia Stella","Antognini",,"SA",,,"3 copies"
"597","What A Wonderful World","David, Thiele","Artman","SA",,,"4 copies"
"599","Truth","Ramsey","Bruce","SA",,,
"587","Walking on Sunshine","Rew","Huff","SSA",,,"4 copies"
"588","When in Doubt, Tell the Truth","Page",,"SA",,,
"592","Who Can Retell?",,"Alder","SA",,,
"534","God Bless America","Berlin","Ringwald","SA",,,
"538","The Lass from the Low Countree","Folk Song","Purifoy","SSA",,,
"542","This Little Babe","Britten","Southwell","3-Part",,,
"527","Laudamus Te","Vivaldi",,"SA",,,
"528","Here Comes the Sun","Harrison","Billingsley","SSA",,,"5 copies"
"531","Lullaby","Williams",,"SSA",,,
"549","La Danza","Rossini","Mulholland","SSA",,,
"555","Northern Lights","Latvian Folksong","Esenvadds","SSSSAAAA",,,
"559","I Count it All Joy","Hagen",,"SSA",,,
"569","You Can't Stop the Beat","Shaiman","Emerson","SSA",,,
"551","Psalm 100","Clausen",,"SSA",,,
"552","Rise Up In Festive Song","Clereau",,"SSA",,,
"553","Nigra Sum","Casals",,"3-Part",,,
"642","The Gift to Sing","Forman","Johnson","SSAA",,,"5 copies"
"647","Mandoline","Debussy","Raines","SSA",,,
"648","The Nightingale","Butler",,"SSA",,,
"633","Travelin' Home","Dumas, Priest","Ramsey","SSAA",,,"4 copies"
"636","Laudamus Te from Gloria","Vivaldi","Martens","SA",,,"latin and englsih; five copies"
"639","Let All The World in Every Corner Sing","Herbert","Lekberg","SSAA",,,"5 copies"
"658","Pueri Hebraeorum","Thompson",,"SSAA",,,
"669","Mouth Music","Keane","Faulkner","SSAA",,,
"670","Missus Est Gabriel","Mordles","Goodale","SSAA",,,
"683","Ride the Chariot",,"The Krones, Beatrice and Max","SSA",,,
"661","My Heart's in the Highlands","Bisbee",,"Unison",,,
"665","Now Touch The Air Softly","Brunner","Smith","SSA",,,
"666","Laudate Peuri Dominum","Felix Mendelssohn",,"SSA",,,
"613","A Dream Is A Wish Your Heart Makes",,"Emerson","SSA",,,
"614","Lachen und Weinen","Schubert","Spevacek-Avery","SSA",,,
"615","FIRE",,"Goetze","SSA",,,"4 copies"
"600","Le Sommeil de l'Enfant JÃ©sus",,"Jeffers","SSA",,,
"606","Night Song","Wittig",,"SSA",,,"5 copies"
"607","Weevily Wheat",,"Kirchner","SA",,,"4 copies"
"616","The First Noel",,"Forrest","SSA",,,"4 copies"
"630","The Knave's Letter from Alice in Wonderland","Fine","Carrol","SSA",,,"4 copies"
"631","In My Life","Lenon, McCartney","Jasperse","SSA",,,
"632","O Holy Night",,"Huff","SSA",,,
"618","The Sleigh","Kountz","Riegger","SA",,,
"620","O Clap Your Hands","Knowles",,"SSA",,,
"627","Omnia Vincit Amor","Trotta",,"SA",,,"3 copies"
"438","The Shoop Shoop Song (It's in His Kiss)","Clark","Emerson","SSA",,,
"444","Sicut Erat","Porpora",,"SSAA",,,"2 copies :("
"445","Sing A New Song","Mendoza",,"SSAA",,,"5 copies"
"433","Norweigian Trilogy","Traditonal","King","SSAA",,,
"435","Salut Printemps","Debussy",,"SA",,,"this is a book"
"437","Shule Aroon","Schram","Traditional Irish","SSA",,,
"458","See the Gipsies","Traditional","Kodaly","SSAA",,,"5 copies"
"459","Who Shall Sing","Klouse",,"SSA",,,"5 copies"
"467","What Sweeter Music","Daley","Herrick","SSA",,,
"384","The Rose and the Gardener","Daley",,"SSA",,,
"455","S'vivon","Bertaux",,"SSAA",,,
"457","Stars are for those who life their eyes","Delmonte","Denny","SA",,,
"426","The Kiss","Council","Teasdale","SSAA",,,
"401","Las Amarillas","Hatfield",,"Three Part",,,
"402","The Fox","Traditional English Folk Song","Richter and Shaeffer","SA",,,
"405","Kyrie & Gloria",,,"SSAA",,,
"387","Lauda Jerusalem","Porpora",,"SSAA",,,
"388","Litanie Della Madonna","Haydn",,"SSA",,,
"399","How Do I Love Three","Boland",,"SSAA",,,
"418","Songbird","Quartel",,"SA",,,
"421","Benedicamus Domino","Taylor","Traditional","SA",,,"Benedicamus Domino; Cantate Domino; Bone Pastor; Jesus, Dulcis Memoria; Adoramus te, Christe; O Vos Mmnes; Sanctus"
"422","Cancion De Los TsÃ¡chilas",,"Sample","SSA(A)",,,"Optional Alto 2 Part"
"409","Let Your Life Sing","Farnell","Lowell","SSA",,,
"411","My Song","Childs","Tagore","SSA",,,
"415","Rise Up","Runestad",,"SSAA",,,"very big; mega size"
"468","Will There Really Be a ""Morning""","Johnson","Dickinson","SA",,,"2 copies"
"481","Three Songs from Sweden",,"Hallstrom","SSA",,,"3 songs; 4 copies"
"483","Three Mountain Ballads",,"Nelson","SSA",,,
"506","The Violet","Patterson",,"SSA",,,"4 copies"
"498","Taivas On Sininen","Finnish Folk Song","Patriquin","SA",,,
"487","Benigne Fac Domine","Hasse",,"SSAA",,,
"488","You Do Not Walk Alone","Traditonal","Hagenberg","SSAA",,,
"486","Now Let Me Fly!","Traditonal","Gibbs","SSAA",,,
"494","There is Sweet Music Here","Lightfoot",,"SSA",,,
"476","Ave Maris Stella Ugalde","Ugalde",,"SSAA",,,
"490","You Are the Music","Szymko","Lowell","SSAA",,,
"471","We are the Music Makers!","Strid","Donnelly","SA",,,
"523","Waldesnacht","Brahms","Edwards","SSA","A-flat major",,
"472","Sanctus","Palestrina","Hermann","SSAA",,,
"509","Study War No More","Traditional Spritual","Moore","SSAA",,,
"517","Vogue","Ciccone, Pettibone","Beck","SSA",,,
"475","Sing a New Song","Mendoza",,"SSAA",,,"6 copies"
"768","Go Where I Send Thee",,"Caldwell, Ivory","SSA/ SAT",,,
"449","Sam was a man","Persichetti","Cummings","SA/ TB",,,"3 copies"
"629","An Die Nachtigall","Schumann",,"SA/ TB",,,
"22","An American Salute","Traditional","Lojeski","SA",,,
"403","Three Rhymes - Set I","Bouman",,"Two Part",,,"The Swing; Where Go the Boats?; The Land of Counterpane"
"91","Criome Mi Madre","Nunez",,"SA",,,
"504","Tarantella","Traditional Neapolitan Song","Bobetsky","Two Part",,,
"20","America the Beautiful","Ward","Emerson","SA",,,
"247","Jubilate",,"Curtright","Two Part",,,
"191","He Lives in You","Mancina, Rifkin","Brymer","SA",,,"9 copies"
"764","The Tiger","Porterfield",,"SSA",,,
"113","Danza Danza","Durante","Snyder","SA",,,"3 copies"
"168","Gloria!","Smith",,"SA",,,
"413","Ubi Caritas","Trotta",,"Two Part",,,
"59","A La Nanita Nana","Folk-Mexican","Eddleman","SA",,,
"157","Enchanted","Menken","Billingsley","SATB/SAB",,,
"171","Gloria Tibi","Strid",,"SA",,,"4 copies"
