"id","title","composer","arranger","specific_voicing","key","time","notes"
"832","Footloose","Loggins","Emerson","3-Part",,,"5 copies"
"257","Hush",,"Parker","SATB",,,
"258","Homeland","Holst","Stroope","SATB",,,
"267","Fare Ye Well",,"Dennard","SATB",,,
"558","HÃ¶rt, HÃ¶rt Das Lauge GetÃ¶n","Haydn",,"SATB",,,
"557","Ride the Chariot","Spiritual","Smith","SATB",,,
"262","Jamais Je n'aimerai Grand Homme","16th Century English","Anderson","SATB",,,
"264","Joshua Fit the Battle of Jericho",,"Fissinger","SATB",,,
"739","See the Chariot At Hand","Williams","Jonson","SATB",,,
"496","Three Gypsy Songs","Brahms",,"SATB",,,"Dearest One, Remember; Hark, the Wind Sighs; To the Dance"
"493","Siyahamba","African Folksong","Gray","SATB",,,
"492","Robert Shaw- Choral Series | Twelve Days of Christmas","Traditonal","Parker, Shaw","SATB",,,
"430","Five Hebrew Long Songs","Whitacre","Plitmann","SATB",,,"TemunÃ¡; KalÃ¡ KallÃ¡; LÃ¡rov; Ã‰yze shÃ©leg; RakÃºt"
"431","The Proclamation: Gloria In Excelsis Deo","Jenkins",,"SATB",,,"in big fat bag"
"434","Dixit Dominus","Handle","Hermann","SSATB",,,
"443","Sing Me to Heaven","Gawthrop","Griner","SATB",,,
"489","Yo Le Canto Todo El Dia","Brunner",,"SATB",,,
"446","Sure On this Shining Night","Lauridson","Agree","SATB",,,"tb only for 5 measures; 5 copies"
"440","St. Augustine's Magnificat and Nunc Dimittis","Howells",,"SATB",,,
"441","Schicksalsied","Brahms","HÃ¶lderlin","SATB",,,
"442","She Sat and Sang Away","Young",,"SATB",,,"very short :)"
"419","Three Moravian Duets","DvorÃ¡k","Leck","SATB",,,"can be sung in multiple languages"
"502","Two Songs of Reflection","Childs","Saba","SATB",,,"Sonnetto di Primavera; Cuore"
"786","Shakespeare Songs Book III","Shakespeare","Harris","SATB",,,"It Was a Lover and His Lass; You Spotted Snakes; Sigh No More, Ladies; O Mistress Mine"
"788","Sing Joyfully","Byrd",,"SSAATB",,,
"417","He's Got The Whole World in His Hands","Traditional","Dent","SATB",,,
"503","Thou Life of Life","Tchesnokov",,"SSAATTBB",,,
"425","Jai Ho","Rahman","Bryner","SATB",,,
"427","Lunar Lullaby","Narverud","Nicely","SATB",,,"only SA for first 29 measures"
"428","My Flight for Heaven","Henson","Henrick","SATB",,,
"501","3 Hungarian Folk Songs","Bartok",,"SATB",,,"In the Village; Boatman! Boatman!; See the Roses"
"423","Blow, Blow, Thou Winter Wind","Rutter",,"SATB",,,"Words by Shakespeare"
"500","Ticket to The Kingdom","Moore",,"SATB",,,
"448","Sing A New Song (Part 2)","Mendoza",,"SSAA",,,
"482","A Promise I Will Keep","Page","Penfold","SATB",,,
"465","The Wedding Ring","Dvorak","Suchoff","SATB",,,
"763","Threads of Joy","Brent","Quist","SATB",,,
"461","Winds Through the Olive Trees","Peter",,"SATB",,,"may be performed a half step lower"
"462","Ride in the Chariot",,"Waddles","SATB",,,
"463","Dies Irae","Mozart",,"SATB",,,
"477","Silent Night","Traditional","Forrest","SATB",,,"4 copies"
"473","Shut de DÅ","Stonehill","Hayes","SATB",,,
"474","The Silence of the Night","Butler","Rossetti","SATB",,,
"469","Way Over in Beulah Lan'",,"Gibbs","SATB",,,
"479","The Song We Sing","Narverud","Bode","SATB",,,
"478","Hark! The Herald Angels Sing","Traditional","Forrest","SATB",,,"2 copies"
"452","Singet dem Herrn","Distler",,"SATB",,,"5 copies"
"485","You Are the Music","Forrest","Lowell","SSAATB",,,
"454","Sanctus","Haydn",,"SATB",,,
"761","How Lovely Is The Dwelling Place","Brahms",,"SATB",,,
"450","Seeds Grow To Plants","Rutter",,"SATB",,,"4 copies"
"451","Stomp Your Foot","Copland",,"SATB",,,
"762","Lunar Lullaby","Narverud","Nicely","SATB",,,
"773","To Him We Sing","Traditional","Young","SSAATTBB",,,
"460","Wie der Hirsch Schreit (As the Hart Longs)","Bartholdy",,"SATB",,,
"484","You Are the Music in Me","Houston","Huff","SAB",,,
"456","Still, Still, Still","Shepperd",,"SATB",,,
"775","Three Meditations","Goemanne","Rice, Emerson","SATB",,,"6 copies; God's Face, We Thank Thee, Sing to the Lord"
"365","Shenandoah","American Folksong","Erb","SSAATTBB",,,
"522","Wade in De","Tradtional Spritual","Koepke","SSAATTBB",,,
"367","A Psalm of David","Joio",,"SATB",,,
"362","The Promise of Living","Copland",,"SATBB",,,
"363","The Rhodora","Whitecotton",,"SATB",,,
"364","O Whistle and I'll Come to Ye",,"Wilberg","SATB",,,
"803","Laudate Dominum","Levente",,"SATB",,,
"372","O Clap Your Hands","Williams",,"SATB",,,
"374","Ouvre Ton Coeur","Bizet","Biddlecombe","SATB",,,
"368","Praise the Lord","Handel","Hopson","SATB",,,
"804","Media Vita","Briggs",,"SSAATTBB",,,
"370","Haec Dies","Byrd",,"SSATTBB",,,
"532","Lautrier Priay De Danser","Costeley",,"SATB",,,
"348","My Good Lord's A-Done-A Been Here","Traditional Spiritual","Gibbs","SATB",,,
"748","Sanctus","Cherubini","Liebergen","SATB",,,
"535","Rhythm of Life","Coleman","Barnes","SATB",,,
"809","Swifter than Flame","Hagenberg","Bostelmann","SATB",,,
"533","Lost and Found","Nelson","Ahlburn","2-Part",,,
"529","What A Wonderful World","Weiss, Thiele","Beck","SATB",,,
"526","Tomorrow Shall be my Dancing Day","Traditional","Gardner","SATB",,,
"360","The Lark's Song","Mendelssohn",,"SATB",,,
"352","Praise the Name of the Lord","Rachmaninoff",,"SSATB",,,
"807","Veni, Sancte Spiritus","Davison",,"SAB/ 2-Part",,,
"354","Voces Lucis","Ramsey",,"SATB",,,
"802","Jubilate Deo","Bouzignac",,"SATBB",,,
"508","Rise Up","Batie, Decilveo","Huff","SATB",,,
"793","Son De Camaguey","Cuban Folk","Hatfield","SATB",,,"3 copies"
"407","Intellige Glamorem Meum","Scarlatti",,"SATB",,,
"396","Let Everything That Hath Breath","Ames",,"SATB",,,
"797","Sanctus","DuruflÃ©",,"SATB",,,
"511","A Gaelic Good Night","Gossler",,"SATB",,,
"412","O Perfect Love","Barnby","Murphy","SATB",,,"2 bags"
"789","Sleigh Bells","Ukrainian Folk","Rentz","SATB",,,
"755","Song On This Festive Day","Arcadelt","Liebergen","3-Part",,,
"791","Something's Coming/ Tonight","Bernstein","Lojeski","SATB",,,
"410","Unclouded Day","Alwood","Kirchner","SATTB",,,
"790","Somewhere","Bernstein","Edgerton","SATB",,,
"520","Wechselleid Zum Tanz","Brahms",,"SATB",,,
"382","O Vos Omnes","Jommelli",,"SATB",,,
"519","We Have No Other Help","Chesnokov",,"SATB",,,"completely in russian (we don't have the russian alphabet â˜¹ï¸)"
"377","To Thee, Cherubim and Seraphim","Handel",,"SATB",,,
"379","The Deum","Haydn",,"SATB",,,
"521","We're Goin' Around","Joplin","Page","SSAB",,,"2 copies"
"798","Sing Unto God","Fetler",,"SSAATBB",,,
"390","We're All In This Together","Gerrard Nevil","Billingsley","SATB",,,
"513","You Say","Daigle, Ingram, Mabury","Sorenson","SATB",,,
"518","Venite Exultemus Domino","Sweelinck",,"SSATB",,,
"386","Ding-a Ding-a Ding","Gilpin",,"SATB",,,
"515","Tarzan","Collins","Huff","SAB",,,"Two Worlds; Son of Man; You'll Be in My Heart; Trashin' the Camp; Strangers Like Me; Two Worlds (Finale); performance time 10:30"
"81","Chorale","Handel","Rutter","SATB",,,
"82","1. Soul Rejoicing (from Chimes)","Gavrilin",,"SSATTBB",,,
"643","Sleepsong","Lovland","Earley","SATB",,,"4 copies"
"78","Cindy","Folk - American","Wilberg","SATB",,,
"79","Cindy","Folk - American","Barnett","SATB",,,
"80","Country Dances","Traditional - American","Swingle","SSAATTBB",,,
"88","Carol of the Magi","Rutter",,"SATB",,,
"90","Come So Far (Got So Far To Go)","Shaiman, Wittman","Billingsley","SATB",,,"From Hairspray"
"892","Vamuvamba",,"Mganga","SATB",,,
"84","5. Ti-Ri-Ri (from Chimes)","Gavrilin",,"SSATTBB",,,"6 Copies"
"699","Signs of the Judgement",,"Butler","SATB",,,
"641","Our Father","Gretchaninoff",,"SATB",,,"5 copies"
"653","The New Moon","Childs","Teasdale","SSAATTBB",,,
"652","New York State of Mind","Joel","Zegree","SATB",,,
"651","O Danny Boy","Irish Folk","Prentice","SSAATTBB",,,
"654","Masters in this Hall","Traditional","Averitt","SSATB",,,
"64","The Battle of Jericho","Traditional - African","Hogan","SATB",,,
"65","If You're Gonna Play in Texas",,"Hart","SATTBB",,,"(You Gotta Have a Fiddle in the Band)"
"75","The Beatles In Revue","Lennon, McCartney","Lojeski","SATB",,,
"895","Shine, Shine, Shine",,"Page","SATB",,,"2 copies"
"644","O Lord of Life","Burraughs","McDonald","SATB",,,"3 copies"
"646","Were You Thee","Spiritual","Luboff","SATTBB",,,
"73","Bohemian Rhapsody","Mercury","Brymer","SATB",,,
"74","Cantate Domino","Holmos",,"SATB",,,
"701","Let Me Fly",,"DeCormier","SATB",,,
"635","Musick's Empire","Pfautsh","Marvell","SATB",,,
"115","Jubilate Deo","Lasso",,"SATB",,,
"638","Bonse Aba","Traditional Zambian","Fischer","SATB",,,"3 copies"
"110","Christmas Time is Here","Guaraldi","Snyder","SSATB",,,"9 copies"
"111","Dan-u-el","Mechem",,"SATB",,,
"706","The Many Moods of Christmas","Traditional","Shaw, Bennett","SATB",,,
"122","Dance for Love","Stroope",,"SATB",,,
"123","Festival Sanctus","Leavitt",,"SATB",,,
"703","My Shepherd Will Supply My Need",,"Wilberg","SATB",,,
"118","Do You Hear What I Hear","Shayne","Ainsworth","SATBBB",,,
"119","Do You Hear What I Hear","Regney & Shayne","Simeone","SSATB",,,
